name,address,city,country,latitude,longitude,avg_score,total_reviews
Olivia Plaza Hotel,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,Barcelona,Spain,41.3861459,2.1711594,9.3,2757
Mercure Josefshof Wien,Josefsgasse 4 6 08 Josefstadt 1080 Vienna Austria,Vienna,Austria,48.2085627,16.3541687,8.3,2526
H10 Urquinaona Plaza,Pla a Urquinaona 2 Eixample 08010 Barcelona Spain,Barcelona,Spain,41.3892128,2.1726015,9.1,1875
DoubleTree By Hilton Milan,Via Ludovico Di Breme 77 Certosa 20156 Milan Italy,Milan,Italy,45.5005657,9.1383663,8.1,277
Radisson Blu Hotel Milan,Via Villapizzone 24 Certosa 20156 Milan Italy,Milan,Italy,45.500667,9.1445874,8.2,1626
Hilton London Tower Bridge,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom,London,United Kingdom,51.504575,-0.082675,8.7,1705
Park Plaza Vondelpark Amsterdam,Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands,Amsterdam,Netherlands,52.3542655,4.8664365,7.5,2176
Eccleston Square Hotel,37 Eccleston Square Westminster Borough London SW1V 1PB United Kingdom,London,United Kingdom,51.4911924,-0.1449474,8.5,369
The Academy,21 Gower Street Camden London WC1E 6HG United Kingdom,London,United Kingdom,51.5205441,-0.1308091,7.8,612
Apollofirst Boutique Hotel,Apollolaan 123 125 Oud Zuid 1077 AP Amsterdam Netherlands,Amsterdam,Netherlands,52.350396,4.8756404,8.5,1284
Hotel Les Bains Paris,7 Rue Du Bourg L abb 3rd arr 75003 Paris France,Paris,France,48.863828,2.3519345,8.9,153
Mercure Paris Op ra Faubourg Montmartre,5 Rue de Montyon 9th arr 75009 Paris France,Paris,France,48.8729639,2.3444899,7.5,223
Le A,4 rue d Artois 8th arr 75008 Paris France,Paris,France,48.8723844,2.3088663,8.9,348
Holiday Inn London Whitechapel,5 Cavell Street Tower Hamlets London E1 2BP United Kingdom,London,United Kingdom,51.5154006,-0.0572364,8.5,1131
Radisson Blu Edwardian Mercer Street,20 Mercer Street Covent Garden Camden London WC2H 9HD United Kingdom,London,United Kingdom,51.5139275,-0.1271506,8.7,1478
H tel Mansart Esprit de France,5 rue des Capucines 1st arr 75001 Paris France,Paris,France,48.8684776,2.3298238,8.6,611
The Waldorf Hilton,Aldwych Westminster Borough London WC2B 4DD United Kingdom,London,United Kingdom,51.5131979,-0.1174504,8.4,1479
Carlyle Brera Hotel,Corso Garibaldi 84 Milan City Center 20121 Milan Italy,Milan,Italy,45.4769923,9.1844899,8.2,1969
NH Amsterdam Noord,Distelkade 21 Amsterdam Noord 1031 XP Amsterdam Netherlands,Amsterdam,Netherlands,52.3923684,4.9110442,8.2,734
My Chelsea,35 Ixworth Place Kensington and Chelsea London SW3 3QX United Kingdom,London,United Kingdom,51.4919083,-0.1684398,8.2,1003
Club Quarters Hotel Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,London,United Kingdom,51.506935,-0.126012,8.5,2494
Hotel Topazz,Lichtensteg 3 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.210285,16.373579,8.7,809
Hilton London Canary Wharf,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,London,United Kingdom,51.5007324,-0.01655,9.0,3040
Adria Boutique Hotel,88 Queens Gate Kensington and Chelsea London SW7 5AB United Kingdom,London,United Kingdom,51.4933372,-0.1788931,8.8,478
Aparthotel Arai 4 Superior,Avinyo 30 Ciutat Vella 08002 Barcelona Spain,Barcelona,Spain,41.3807517,2.1772425,9.3,520
Roger de Ll ria,Roger de Lluria 28 Eixample 08010 Barcelona Spain,Barcelona,Spain,41.3910786,2.1717285,8.5,596
H tel Westminster,13 Rue De La Paix 2nd arr 75002 Paris France,Paris,France,48.8693409,2.3310263,8.4,1374
H tel Brighton Esprit de France,218 rue de Rivoli 1st arr 75001 Paris France,Paris,France,48.8649306,2.3290844,8.7,973
Grange Fitzrovia Hotel,20 28 Bolsover Street Westminster Borough London W1W 5NB United Kingdom,London,United Kingdom,51.521759,-0.1425381,8.1,1034
Fleming s Conference Hotel Wien,Neubaug rtel 26 28 07 Neubau 1070 Vienna Austria,Vienna,Austria,48.1995177,16.3388225,8.5,2080
Mercure Paris 15 Porte de Versailles,6 Rue Saint Lambert 15th arr 75015 Paris France,Paris,France,48.8382542,2.2903494,8.0,221
Ilunion Bel Art,Lepanto 406 Horta Guinard 08025 Barcelona Spain,Barcelona,Spain,41.4101934,2.1695574,7.9,353
My Bloomsbury,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,London,United Kingdom,51.5188555,-0.1319172,8.1,1161
Novotel Paris Vaugirard Montparnasse,257 Rue De Vaugirard 15th arr 75015 Paris France,Paris,France,48.8399018,2.3031011,7.6,1313
Le Dokhan s a Tribute Portfolio Hotel,117 Rue Lauriston 16th arr 75116 Paris France,Paris,France,48.8663359,2.2867935,7.9,222
UNA Hotel Scandinavia,Via Giovanni Battista Fauch Sempione 20154 Milan Italy,Milan,Italy,45.4859983,9.1637603,8.5,579
Innkeeper s Lodge London Greenwich,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom,London,United Kingdom,51.4801631,-0.0097201,8.2,1191
IH Hotels Milano Lorenteggio,Via Lorenteggio 278 Lorenteggio 20152 Milan Italy,Milan,Italy,45.4436132,9.1161094,7.0,2181
Ayre Hotel Gran V a,Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,Barcelona,Spain,41.3732462,2.1474351,8.8,4887
H10 Metropolitan 4 Sup,Rambla Catalunya 7 9 Eixample 08007 Barcelona Spain,Barcelona,Spain,41.3875467,2.1673975,9.2,1834
DoubleTree by Hilton Hotel London Marble Arch,4 Bryanston St Marble Arch Westminster Borough London W1H 7BY United Kingdom,London,United Kingdom,51.514573,-0.15666,8.1,1290
The Curtain,45 Curtain Road Hackney London EC2A 4PJ United Kingdom,London,United Kingdom,51.5237209,-0.0806178,9.1,59
Hotel Das Tigra,Tiefer Graben 14 20 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2121772,16.3680771,8.9,1817
Le Roch Hotel Spa,28 rue Saint Roch 1st arr 75001 Paris France,Paris,France,48.8661991,2.3328826,9.0,118
H tel Recamier,3 Bis Place Saint Sulpice 6th arr 75006 Paris France,Paris,France,48.8503493,2.3344305,9.0,164
Novotel Milano Linate Aeroporto,Via Mecenate 121 20138 Milan Italy,Milan,Italy,45.4481878,9.2570459,8.0,1607
H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,Paris,France,48.8619373,2.3040298,8.6,577
Mercure London Hyde Park,8 14 Talbot Sq Paddington Westminster Borough London W2 1TS United Kingdom,London,United Kingdom,51.5151149,-0.1743857,8.6,527
Radisson Blu Hotel Amsterdam,Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,Amsterdam,Netherlands,52.3702469,4.8966743,8.6,4593
H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France,Paris,France,48.8720593,2.3236802,8.6,1703
Maxim Op ra,13 rue Geoffroy Marie 9th arr 75009 Paris France,Paris,France,48.8738557,2.3444232,8.4,256
Negresco Princess 4 Sup,Roger de Lluria 16 18 Eixample 08010 Barcelona Spain,Barcelona,Spain,41.3905166,2.1725643,8.9,2369
Park Hyatt Vienna,Am Hof 2 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2105243,16.3683592,9.3,532
Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,Paris,France,48.88366,2.3313845,9.3,282
Vincci Mae,Avenida Diagonal 596 Sarri St Gervasi 08021 Barcelona Spain,Barcelona,Spain,41.3933943,2.1461315,8.9,546
Newhotel Roblin,6 rue Chauveau Lagarde 8th arr 75008 Paris France,Paris,France,48.8714152,2.3239679,8.8,1327
Hotel Plaza Elys es,177 Boulevard Haussmann 8th arr 75008 Paris France,Paris,France,48.8746128,2.3056956,8.5,563
Gran Hotel Torre Catalunya,Avenida Roma 2 4 Sants Montju c 08014 Barcelona Spain,Barcelona,Spain,41.3795572,2.1425457,8.5,1671
Condes de Barcelona,Paseo de Gracia 73 Eixample 08008 Barcelona Spain,Barcelona,Spain,41.3935497,2.1627098,8.7,1319
Exe Vienna,Ottakringer Stra e 34 36 17 Hernals 1170 Vienna Austria,Vienna,Austria,48.2149414,16.3365285,7.7,2667
Hotel Prinz Eugen,Wiedner G rtel 14 04 Wieden 1040 Vienna Austria,Vienna,Austria,48.1877258,16.3781454,8.3,3308
Radisson Blu Edwardian Bloomsbury Street,9 13 Bloomsbury Street Nr Covent Garden Camden London WC1B 3QD United Kingdom,London,United Kingdom,51.517608,-0.1276253,8.6,1641
Hotel Beethoven Wien,Papagenogasse 6 06 Mariahilf 1060 Vienna Austria,Vienna,Austria,48.2000165,16.3641802,8.9,578
Grand Hotel Central,Via Laietana 30 Ciutat Vella 08003 Barcelona Spain,Barcelona,Spain,41.3849695,2.1776631,8.9,988
NH Milano Palazzo Moscova,Viale Monte Grappa 12 Garibaldi Station 20124 Milan Italy,Milan,Italy,45.480968,9.189977,8.2,948
Hotel Casa Fuster G L Monumento,Passeig de Gracia 132 Gr cia 08008 Barcelona Spain,Barcelona,Spain,41.3980162,2.1581229,9.0,935
Catalonia Magdalenes,Magdalenes 13 15 Ciutat Vella 08002 Barcelona Spain,Barcelona,Spain,41.3861283,2.1745291,9.4,1108
FourSide Hotel Suites Vienna,Freytaggasse 25 27 21 Floridsdorf 1210 Vienna Austria,Vienna,Austria,48.2565936,16.4031426,8.6,1146
H tel Horset Op ra Best Western Premier Collection,18 Rue d Antin 2nd arr 75002 Paris France,Paris,France,48.8691686,2.3337818,8.5,941
Worldhotel Cristoforo Colombo,Corso Buenos Aires 3 Milan City Center 20124 Milan Italy,Milan,Italy,45.4758842,9.205791,8.6,2875
Conrad London St James,22 28 Broadway Westminster Borough London SW1H 0BH United Kingdom,London,United Kingdom,51.4993927,-0.1329128,9.1,944
Aparthotel Mariano Cubi Barcelona,Mariano Cubi 62 64 Sarri St Gervasi 08006 Barcelona Spain,Barcelona,Spain,41.3982129,2.1494179,8.3,635
Hotel Lombardia,Viale Lombardia 74 76 Citt Studi 20131 Milan Italy,Milan,Italy,45.4872511,9.2237385,7.9,713
The Chamberlain,130 135 Minories City of London London EC3N 1NU United Kingdom,London,United Kingdom,51.5122457,-0.0757326,8.9,2543
Royal Garden Hotel,2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,London,United Kingdom,51.5027022,-0.1882164,8.8,2213
Hotel Nestroy Wien,Rotensterngasse 7a 02 Leopoldstadt 1020 Vienna Austria,Vienna,Austria,48.2178332,16.3821636,8.1,682
Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,London,United Kingdom,51.4919588,-0.2200956,8.3,2443
Rochester Champs Elysees,92 Rue La Boetie 8th arr 75008 Paris France,Paris,France,48.8724945,2.3091549,8.5,570
Radisson Blu Edwardian Vanderbilt,68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,London,United Kingdom,51.4953691,-0.1818966,8.2,2665
The Cranley Hotel,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,London,United Kingdom,51.4916378,-0.1832833,7.8,388
Melia Vienna,Donau City Stra e 7 22 Donaustadt 1220 Vienna Austria,Vienna,Austria,48.231911,16.4129493,8.6,3557
The Ampersand Hotel,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,London,United Kingdom,51.4943077,-0.1755579,9.1,902
Prince de Galles a Luxury Collection hotel Paris,33 avenue George V 8th arr 75008 Paris France,Paris,France,48.869143,2.3006526,9.0,171
Hotel Marconi,Via Fabio Filzi 3 Central Station 20124 Milan Italy,Milan,Italy,45.4868744,9.2018407,8.3,1806
Colombia,Via Roberto Lepetit 15 Central Station 20124 Milan Italy,Milan,Italy,45.4829817,9.2041911,8.3,1114
H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France,Paris,France,48.8699103,2.2973386,9.1,338
Canary Riverside Plaza Hotel,46 Westferry Circus Tower Hamlets London E14 8RS United Kingdom,London,United Kingdom,51.5066991,-0.0280208,8.9,310
Simm s Hotel,Simmeringer Hauptstra e 55 57 11 Simmering 1110 Vienna Austria,Vienna,Austria,48.1790835,16.4116997,8.5,849
Attica 21 Barcelona Mar,Proven als 10 Sant Mart 08019 Barcelona Spain,Barcelona,Spain,41.4052324,2.2117289,8.1,926
The Student Hotel Amsterdam City,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,Amsterdam,Netherlands,52.3546649,4.9131641,8.7,7656
Petit Palace Barcelona,Roger De Lluria 21 Esq Gran Via 662 Eixample 08037 Barcelona Spain,Barcelona,Spain,41.3909816,2.1714938,7.9,1148
Barcel Sants,Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,Barcelona,Spain,41.3798964,2.1412433,8.6,4379
The Beaumont Hotel,8 Balderton Street Brown Hart Gardens Westminster Borough London W1K 6TF United Kingdom,London,United Kingdom,51.513055,-0.152257,9.4,334
Hotel Spa Villa Olimpica Suites,Pallars 121 125 Sant Mart 08018 Barcelona Spain,Barcelona,Spain,41.3971434,2.1921947,8.0,3565
Melia Paris Champs Elys es,102 Avenue Victor Hugo 16th arr 75016 Paris France,Paris,France,48.8688962,2.2827459,8.3,95
Goralska R sidences H tel Paris Bastille,7 Boulevard Bourdon 4th arr 75004 Paris France,Paris,France,48.8482842,2.3657251,9.4,107
Sixtytwo Hotel,Passeig de Gracia 62 Eixample 08007 Barcelona Spain,Barcelona,Spain,41.3930168,2.1646148,9.2,1010
The Cleveland,39 40 Cleveland Square Westminster Borough London W2 6DA United Kingdom,London,United Kingdom,51.5139692,-0.1828202,8.2,909
Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,London,United Kingdom,51.5059334,-0.1489418,7.0,2061
Norfolk Towers Paddington,34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,London,United Kingdom,51.5162883,-0.1721078,7.9,4065
Holiday Inn Amsterdam Arena Towers,Hoogoorddreef 66 Zuidoost 1101 BE Amsterdam Netherlands,Amsterdam,Netherlands,52.3096835,4.9422614,8.4,1992
citizenM Amsterdam,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,Amsterdam,Netherlands,52.3419432,4.8759604,8.6,4530
NH Hesperia Barcelona Presidente,Avenida Diagonal 570 Sarri St Gervasi 08021 Barcelona Spain,Barcelona,Spain,41.3941338,2.1489569,8.6,847
Windsor Opera,10 Rue Gabriel Laumain 10th arr 75010 Paris France,Paris,France,48.8734851,2.3485111,8.3,168
Milan Marriott Hotel,Via Washington 66 Fiera Milano City 20146 Milan Italy,Milan,Italy,45.4611287,9.1542675,7.6,576
Eurostars Grand Marina Hotel GL,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,Barcelona,Spain,41.371308,2.181698,8.5,4559
Mandarin Oriental Paris,251 rue Saint Honor 1st arr 75001 Paris France,Paris,France,48.8671889,2.326927,9.1,81
Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,London,United Kingdom,51.5024348,-0.0002497,9.4,4204
Hotel Vienna,Gro e Stadtgutgasse 31 02 Leopoldstadt 1020 Vienna Austria,Vienna,Austria,48.2196722,16.3863588,8.1,1044
HCC Regente,Rambla de Catalunya 76 Eixample 08008 Barcelona Spain,Barcelona,Spain,41.3922919,2.1622256,8.1,354
Hotel Imlauer Wien,Rotensterngasse 10 02 Leopoldstadt 1020 Vienna Austria,Vienna,Austria,48.2176776,16.3821364,8.5,1152
Leonardo Hotel Vienna,Matrosengasse 6 8 06 Mariahilf 1060 Vienna Austria,Vienna,Austria,48.1945297,16.340327,8.1,6373
Hotel Le Sainte Beuve,9 Rue Sainte Beuve 6th arr 75006 Paris France,Paris,France,48.8438998,2.3294858,8.9,143
Majestic Hotel Spa,30 Rue La P rouse 16th arr 75016 Paris France,Paris,France,48.8703672,2.2938868,8.7,232
Crowne Plaza London Docklands,Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,London,United Kingdom,51.5083537,0.0198855,8.8,2768
Park Grand Paddington Court,27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,London,United Kingdom,51.5135555,-0.180002,8.1,6608
Idea Hotel Milano San Siro,Via Gaetano Airaghi 125 20153 Milan Italy,Milan,Italy,45.4720654,9.0777871,6.9,5742
INK Hotel Amsterdam MGallery by Sofitel,Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,Amsterdam,Netherlands,52.3754926,4.8929878,8.9,2574
Plaza Tour Eiffel,32 Rue Greuze 16th arr 75016 Paris France,Paris,France,48.8645647,2.2821827,8.5,266
Eurostars Embassy,Landstra er Hauptstra e 120 03 Landstra e 1030 Vienna Austria,Vienna,Austria,48.1964001,16.3958668,8.4,1442
Austria Trend Hotel Bosei Wien,Gutheil Schoder Gasse 7B 10 Favoriten 1100 Vienna Austria,Vienna,Austria,48.1629737,16.3404024,8.3,3287
The Zetter Hotel,86 88 Clerkenwell Road Islington London EC1M 5RJ United Kingdom,London,United Kingdom,51.522672,-0.1036841,8.9,394
Das Triest Hotel,Wiedner Hauptstra e 12 04 Wieden 1040 Vienna Austria,Vienna,Austria,48.1974036,16.3673003,8.1,275
Savoy Hotel Amsterdam,Ferdinand Bolstraat 194 Oud Zuid 1072 LW Amsterdam Netherlands,Amsterdam,Netherlands,52.3497431,4.8911908,6.4,995
Westside Arc de Triomphe Hotel,36 rue Pierre Demours 17th arr 75017 Paris France,Paris,France,48.8811741,2.2948337,8.1,1738
The Rookery,Peters Lane Cowcross Street Islington London EC1M 6DS United Kingdom,London,United Kingdom,51.520171,-0.102463,9.1,501
Paris Marriott Rive Gauche Hotel,17 Boulevard Saint Jacques 14th arr 75014 Paris France,Paris,France,48.8315962,2.3399796,7.5,239
Mercure Paris Montparnasse Raspail,207 Boulevard Raspail 14th arr 75014 Paris France,Paris,France,48.8412131,2.3302954,8.2,369
Hotel Opera Cadet,24 rue Cadet 9th arr 75009 Paris France,Paris,France,48.8754371,2.3434586,8.5,349
Chiswick Rooms,407 Goldhawk Rd Chiswick London W6 0SA United Kingdom,London,United Kingdom,51.4937409,-0.244896,7.8,882
Barcelona Princess,Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,Barcelona,Spain,41.4109715,2.2186535,8.3,4293
Hotel Am Schubertring,Schubertring 11 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2017277,16.375463,8.2,1259
Jumeirah Carlton Tower,Cadogan Place Kensington and Chelsea London SW1X 9PY United Kingdom,London,United Kingdom,51.4973568,-0.1576728,8.6,265
Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,London,United Kingdom,51.5129736,-0.1837431,8.5,6596
Warwick Paris Former Warwick Champs Elysees,5 rue de Berri 8th arr 75008 Paris France,Paris,France,48.8722019,2.3030866,8.1,1813
Hotel Malte Astotel,63 rue de Richelieu 2nd arr 75002 Paris France,Paris,France,48.8672474,2.33738,8.9,121
Royal Saint Honore,221 Rue Saint Honore 1st arr 75001 Paris France,Paris,France,48.8658792,2.3298903,8.6,667
Paris Marriott Champs Elysees Hotel,70 avenue des Champs Elysees 8th arr 75008 Paris France,Paris,France,48.8711365,2.3050482,7.9,372
Melia White House Hotel,Albany Street London NW1 3UP United Kingdom,London,United Kingdom,51.5298597,-0.1444623,8.3,1871
DoubleTree by Hilton London West End,92 Southampton Row Camden London WC1B 4BH United Kingdom,London,United Kingdom,51.5201065,-0.1221393,8.3,1774
Suite Hotel 900 m zur Oper,Wiedner Hauptstra e 44 04 Wieden 1040 Vienna Austria,Vienna,Austria,48.1935235,16.3669145,8.0,3461
Holiday Inn London Kensington,Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,London,United Kingdom,51.499981,-0.1928791,7.8,5945
Relais Du Louvre,19 Rue Des Pretres Saint Germain L Auxerrois 1st arr 75001 Paris France,Paris,France,48.8592264,2.340996,8.9,406
Ako Suites Hotel,Diputaci 195 Eixample 08011 Barcelona Spain,Barcelona,Spain,41.3861153,2.1611899,8.7,771
Holiday Inn Milan Garibaldi Station,Via Ugo Bassi 1 A Ang Via C Farini Garibaldi Station 20159 Milan Italy,Milan,Italy,45.488764,9.183057,8.3,484
Catalonia Passeig de Gr cia 4 Sup,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,Barcelona,Spain,41.3901396,2.1696699,9.2,2116
Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,London,United Kingdom,51.4990953,-0.1132136,8.6,218
W Barcelona,Pla a Rosa dels Vents 1 Passeig Joan de Borbo Ciutat Vella 08039 Barcelona Spain,Barcelona,Spain,41.368437,2.1901534,8.5,2708
Hotel Vueling Bcn by HC,Gran Via 550 Eixample 08011 Barcelona Spain,Barcelona,Spain,41.3831641,2.1604736,8.8,1696
UNA Maison Milano,Via Mazzini 4 Milan City Center 20123 Milan Italy,Milan,Italy,45.4633289,9.1884242,9.3,1108
Legend Saint Germain by Elegancia,151 bis Rue de Rennes 6th arr 75006 Paris France,Paris,France,48.8453774,2.3256427,8.9,406
Graben Hotel,Dorotheergasse 3 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2078955,16.3701084,8.6,657
Bulgari Hotel Milano,Via Privata Fratelli Gabba 7 B Milan City Center 20121 Milan Italy,Milan,Italy,45.4701334,9.1897405,9.2,136
Hotel Sanpi Milano,Via Lazzaro Palazzi 18 Central Station 20124 Milan Italy,Milan,Italy,45.4777623,9.203169,8.5,904
Hotel Stefanie,Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,Vienna,Austria,48.2142766,16.3801779,9.1,3883
H tel L Echiquier Op ra Paris MGallery by Sofitel,38 rue de l Echiquier 10th arr 75010 Paris France,Paris,France,48.8719889,2.3492913,9.1,666
Senator Barcelona Spa Hotel,Cardenal Reig 11 Les Corts 08028 Barcelona Spain,Barcelona,Spain,41.3777977,2.1135971,7.7,3097
Austria Trend Hotel Ananas Wien,Sonnenhofgasse 8 10 05 Margareten 1050 Vienna Austria,Vienna,Austria,48.1915401,16.3546263,8.2,4217
Hotel La Spezia Gruppo MiniHotel,Via La Spezia 25 Famagosta 20142 Milan Italy,Milan,Italy,45.4408963,9.1728003,8.4,507
Amsterdam Marriott Hotel,Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,Amsterdam,Netherlands,52.362514,4.8800077,8.1,1556
Best Western Premier Faubourg 88,88 rue du Faubourg Poissoni re 10th arr 75010 Paris France,Paris,France,48.8776756,2.3493159,8.4,728
Les Matins de Paris Spa,3 rue Clauzel 9th arr 75009 Paris France,Paris,France,48.878932,2.3394182,8.6,413
Windermere Hotel,142 To 144 Warwick Way Victoria Westminster Borough London SW1V 4JE United Kingdom,London,United Kingdom,51.4903724,-0.1459218,8.7,221
Hotel Corvinus,Mariahilfer Stra e 57 59 06 Mariahilf 1060 Vienna Austria,Vienna,Austria,48.1990335,16.3525051,8.5,581
NH Collection Milano President,Largo Augusto 10 Milan City Center 20122 Milan Italy,Milan,Italy,45.4630685,9.1979367,8.7,3754
Hotel Vittoria,Via Pietro Calvi 32 P Vittoria 20129 Milan Italy,Milan,Italy,45.463135,9.2102,8.1,676
STRAF a Member of Design Hotels,Via San Raffaele 3 Milan City Center 20121 Milan Italy,Milan,Italy,45.465237,9.191247,8.3,1062
Washington Mayfair Hotel,5 Curzon St Westminster Borough London W1J 5HL United Kingdom,London,United Kingdom,51.5060237,-0.151078,7.9,1532
Sofitel Paris Le Faubourg,15 Rue Boissy d Anglas 8th arr 75008 Paris France,Paris,France,48.868414,2.3213247,8.5,564
Boundary Rooms Suites,2 4 Boundary Street Hackney London E2 7DD United Kingdom,London,United Kingdom,51.5244224,-0.0764614,8.4,45
The Marylebone Hotel,47 Welbeck Street Westminster Borough London W1G 8DN United Kingdom,London,United Kingdom,51.5180207,-0.1500567,8.9,1738
Seven Hotel,20 rue Berthollet 5th arr 75005 Paris France,Paris,France,48.8389823,2.3455528,8.5,467
Grosvenor House A JW Marriott Hotel,Park Lane Westminster Borough London W1K 7TN United Kingdom,London,United Kingdom,51.5082019,-0.1545589,7.9,564
Starhotels Echo,Viale Andrea Doria 4 Central Station 20124 Milan Italy,Milan,Italy,45.4847398,9.2072916,8.9,3774
Vincci Maritimo,Llull 340 Sant Mart 08019 Barcelona Spain,Barcelona,Spain,41.4082054,2.2124626,8.3,2573
Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,London,United Kingdom,51.5146025,-0.1481978,8.1,1600
Relais H tel du Vieux Paris,9 rue Git le Coeur 6th arr 75006 Paris France,Paris,France,48.8538608,2.3429487,8.9,464
Golden Tulip Opera de Noailles,9 rue de la Michodi re 2nd arr 75002 Paris France,Paris,France,48.8696173,2.3346428,8.6,823
Hotel Royal,Singerstra e 3 01 Innere Stadt 1010 Vienna Austria,Vienna,Austria,48.2078727,16.3724042,8.6,840
Hotel Silver,Via Riccardo Lombardi 9 11 20153 Milan Italy,Milan,Italy,45.4589731,9.0687506,8.4,213
Hotel Balmes,Mallorca 216 Eixample 08008 Barcelona Spain,Barcelona,Spain,41.3910621,2.1593373,8.5,931
Hotel Alimara,Berruguete 126 Horta Guinard 08035 Barcelona Spain,Barcelona,Spain,41.4337561,2.147327,8.1,1991
Villa Eugenie,167 rue de Rome 17th arr 75017 Paris France,Paris,France,48.8871283,2.314205,6.8,165
Cotton House Hotel Autograph Collection,Gran V a de les Corts Catalanes 670 Eixample 08010 Barcelona Spain,Barcelona,Spain,41.3915897,2.1720108,8.8,156
Hotel Auriga,Via G B Pirelli 7 Central Station 20124 Milan Italy,Milan,Italy,45.4858877,9.2042827,8.2,1299
Park Hyatt Milano,Via Tommaso Grossi 1 Milan City Center 20121 Milan Italy,Milan,Italy,45.4654912,9.1889612,9.1,428
Waldorf Madeleine,12 boulevard Malesherbes 8th arr 75008 Paris France,Paris,France,48.8715828,2.3224853,8.4,1184
LaGare Hotel Milano Centrale MGallery by Sofitel,Via Gian Battista Pirelli 20 Central Station 20124 Milan Italy,Milan,Italy,45.484237,9.198858,8.7,2678
Great St Helen Hotel,36 Great st Helens City of London London EC3A 6AP United Kingdom,London,United Kingdom,51.5149583,-0.0823869,7.4,1328
The Yard Milano,Piazza XXIV Maggio 8 Milan City Center 20123 Milan Italy,Milan,Italy,45.453152,9.179172,9.2,786
Pakat Suites Hotel,Mommsengasse 5 04 Wieden 1040 Vienna Austria,Vienna,Austria,48.19183,16.3770876,8.6,664
Henry VIII,23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,London,United Kingdom,51.5124655,-0.182274,7.0,2937
La Clef Tour Eiffel,83 avenue Kl ber 16th arr 75016 Paris France,Paris,France,48.8647019,2.2886425,9.0,1258
Grange Clarendon Hotel,34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,London,United Kingdom,51.5197933,-0.1241844,8.1,823
Antica Locanda Dei Mercanti,Via San Tomaso 6 Milan City Center 20121 Milan Italy,Milan,Italy,45.467298,9.1846982,9.0,333
IH Hotels Milano Watt 13,Via Giacomo Watt 13 Famagosta 20143 Milan Italy,Milan,Italy,45.443791,9.152947,7.6,2122
Hotel Am Konzerthaus Vienna MGallery by Sofitel,Am Heumarkt 35 37 03 Landstra e 1030 Vienna Austria,Vienna,Austria,48.1996129,16.3773546,8.6,1307
Eurostars Ramblas,La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain,Barcelona,Spain,41.3780983,2.1762005,8.2,1878
